Exercise,Date,Reps,Weight(lbs),Incline,Resistance,multiplier,Volume
Bent Over Barbell Row,2019-12-02,6,114.96765882555725,0.0,0.0,1.0,689.8059529533435
Bent Over Barbell Row,2019-10-26,8,114.96765882555725,0.0,0.0,1.0,919.741270604458
Bent Over Barbell Row,2019-10-20,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-10-26,8,114.96765882555725,0.0,0.0,1.0,919.741270604458
Bent Over Barbell Row,2019-09-11,12,89.97468951565351,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-09-11,12,109.96906496357653,0.0,0.0,1.0,1319.6287795629182
Bent Over Barbell Row,2019-09-11,12,109.96906496357653,0.0,0.0,1.0,1319.6287795629182
Bent Over Barbell Row,2019-10-20,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-10-20,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-10-20,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-10-20,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Bent Over Barbell Row,2019-10-22,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-10-22,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-10-22,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-10-22,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-10-26,8,114.96765882555725,0.0,0.0,1.0,919.741270604458
Bent Over Barbell Row,2019-12-02,10,114.96765882555725,0.0,0.0,1.0,1149.6765882555726
Bent Over Barbell Row,2019-09-17,12,134.96203427348027,0.0,0.0,1.0,1619.5444112817631
Bent Over Barbell Row,2019-12-02,10,44.987344757826754,0.0,0.0,1.0,449.87344757826753
Bent Over Barbell Row,2019-12-06,8,109.96906496357653,0.0,0.0,1.0,879.7525197086122
